address,property_type,area_name,municipality,is_savedalen,sale_type,sold_date,year,month,final_price_sek,asking_price_sek,price_change_sek,price_change_percent,living_area_m2,extra_area_m2,rooms,plot_area_m2,price_per_m2,bid_change_percent,source_url,source_text
Korsängen 12,Radhus,Sävedalen,Partille,yes,Slutpris,2026-05-21,2026,5,6050000,,,,120.0,25.0,5.0,155.0,50400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Korsängen 12 Radhus · Sävedalen · Partille 6 050 000 kr 120 + 25 m² 5 rum 155 m² tomt 50 400 kr/m² 2026-05-21
Kullegärdet 72,Radhus,Sävedalen,Partille,yes,Slutpris,2026-05-20,2026,5,5650000,5789000.0,-139000.0,-2.4,152.0,,5.0,209.0,37200.0,-2.4,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Kullegärdet 72 Radhus · Sävedalen · Partille 5 650 000 kr -2,4% 152 m² 5 rum 209 m² tomt 37 200 kr/m² 2026-05-20 -2,4%"
Agda Helins väg 10,Villa,Öjersjö,Partille,no,Slutpris,2026-05-19,2026,5,8300000,,,,138.0,138.0,7.0,350.0,60100.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Agda Helins väg 10 Villa · Öjersjö · Partille 8 300 000 kr 138 + 138 m² 7 rum 350 m² tomt 60 100 kr/m² 2026-05-19
Kullegärdet 48,Radhus,Södra Sävedalen,Partille,yes,Slutpris,2026-05-18,2026,5,6600000,6298000.0,302000.0,4.8,132.0,,5.0,175.0,50000.0,4.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Kullegärdet 48 Radhus · Södra Sävedalen · Partille 6 600 000 kr 132 m² 5 rum 175 m² tomt 50 000 kr/m² Uteplats 2026-05-18 +4,8%"
Fykelyckan 14,Radhus,Södra Sävedalen,Partille,yes,Slutpris,2026-05-18,2026,5,6600000,10107000.0,-3507000.0,-34.7,136.0,41.0,7.0,151.0,48500.0,-34.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Fykelyckan 14 Radhus · Södra Sävedalen · Partille 6 600 000 kr 136 + 41 m² 7 rum 151 m² tomt 48 500 kr/m² 2026-05-18 -34,7%"
Gökegårdshöjden 31,Villa,Öjersjö,Partille,no,Lagfart,2026-03-05,2026,3,5808000,,,,167.0,,6.0,258.0,34800.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Lagfart Gökegårdshöjden 31 Villa · Öjersjö · Partille 5 808 000 kr 167 m² 6 rum 258 m² tomt 34 800 kr/m² Balkong Eldstad 2026-03-05
Brasebacken 47,Radhus,Öjersjö,Partille,no,Slutpris,2026-05-16,2026,5,4800000,,,,116.0,4.0,4.0,401.8,41400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Brasebacken 47 Radhus · Öjersjö · Partille 4 800 000 kr 116 + 4 m² 4 rum 401,8 m² tomt 41 400 kr/m² Uteplats 2026-05-16"
Jennyhillsvägen 9G,Radhus,Mellby,Partille,no,Slutpris,2026-05-16,2026,5,4550000,,,,121.0,2.0,6.0,301.0,37600.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Jennyhillsvägen 9G Radhus · Mellby · Partille 4 550 000 kr 121 + 2 m² 6 rum 301 m² tomt 37 600 kr/m² Balkong Uteplats 2026-05-16
Hålegårdsvägen 3,Radhus,Lexby,Partille,no,Lagfart,2026-02-24,2026,2,3000000,2660000.0,340000.0,12.8,107.0,,3.0,263.0,28000.0,12.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Lagfart Hålegårdsvägen 3 Radhus · Lexby · Partille 3 000 000 kr 107 m² 3 rum 263 m² tomt 28 000 kr/m² Uteplats 2026-02-24 +12,8%"
Högmossevägen 3,Villa,Öjersjö,Partille,no,Slutpris,2026-05-13,2026,5,5300000,4711000.0,589000.0,12.5,75.0,69.0,5.0,1699.0,70700.0,12.5,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Högmossevägen 3 Villa · Öjersjö · Partille 5 300 000 kr 75 + 69 m² 5 rum 1 699 m² tomt 70 700 kr/m² 2026-05-13 +12,5%"
Bykällevägen 35,Villa,Kåhög,Partille,no,Slutpris,2026-05-13,2026,5,6300000,,,,174.0,76.0,6.0,1074.0,36200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Bykällevägen 35 Villa · Kåhög · Partille 6 300 000 kr 174 + 76 m² 6 rum 1 074 m² tomt 36 200 kr/m² Eldstad 2026-05-13
Brännevägen 5,Radhus,Kåbäcken,Partille,no,Lagfart,2026-02-20,2026,2,7000000,,,,138.0,,6.0,461.0,50700.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Lagfart Brännevägen 5 Radhus · Kåbäcken · Partille 7 000 000 kr 138 m² 6 rum 461 m² tomt 50 700 kr/m² 2026-02-20
Knektevägen 45,Radhus,Sävedalen,Partille,yes,Lagfart,2026-02-07,2026,2,5600000,,,,168.0,1.0,6.0,205.0,33300.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Lagfart Knektevägen 45 Radhus · Sävedalen · Partille 5 600 000 kr +2% 168 + 1 m² 6 rum 205 m² tomt 33 300 kr/m² 2026-02-07
Fröjas Backe 20,Villa,Södra Sävedalen,Partille,yes,Slutpris,2026-05-12,2026,5,7910000,7498000.0,412000.0,5.5,122.0,6.0,6.0,347.0,64800.0,5.5,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Fröjas Backe 20 Villa · Södra Sävedalen · Partille 7 910 000 kr 122 + 6 m² 6 rum 347 m² tomt 64 800 kr/m² Eldstad Uteplats 2026-05-12 +5,5%"
Morkullesträcket 20B,Villa,Furulund,Partille,no,Slutpris,2026-05-12,2026,5,7650000,7862000.0,-212000.0,-2.7,149.0,,5.0,892.0,51300.0,-2.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Morkullesträcket 20B Villa · Furulund · Partille 7 650 000 kr 149 m² 5 rum 892 m² tomt 51 300 kr/m² Uteplats 2026-05-12 -2,7%"
Gryningsvägen 81,Radhus,Furulund,Partille,no,Slutpris,2026-05-11,2026,5,2910000,2942000.0,-32000.0,-1.1,131.8,,4.0,,22100.0,-1.1,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Gryningsvägen 81 Radhus · Furulund · Partille 2 910 000 kr 131,8 m² 4 rum 22 100 kr/m² Uteplats 2026-05-11 -1,1%"
Idas väg 3C,Radhus,Öjersjö,Partille,no,Slutpris,2026-05-08,2026,5,6500000,6743000.0,-243000.0,-3.6,125.0,,5.0,125.0,52000.0,-3.6,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Idas väg 3C Radhus · Öjersjö · Partille 6 500 000 kr 125 m² 5 rum 125 m² tomt 52 000 kr/m² 2026-05-08 -3,6%"
Kålgården 15,Kedjehus,Öjersjö,Partille,no,Lagfart,2025-11-04,2025,11,8095000,,,,158.0,,,360.0,51200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Lagfart Kålgården 15 Kedjehus · Öjersjö · Partille 8 095 000 kr 158 m² 360 m² tomt 51 200 kr/m² 2025-11-04
Hällebergsvägen 5,Villa,Öjersjö,Partille,no,Slutpris,2026-05-08,2026,5,12900000,,,,196.0,92.0,,1081.0,65800.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Hällebergsvägen 5 Villa · Öjersjö · Partille 12 900 000 kr +/-0% 196 + 92 m² 1 081 m² tomt 65 800 kr/m² Eldstad 2026-05-08
Källdalsvägen 11,Radhus,Mellby,Partille,no,Slutpris,2026-05-07,2026,5,3200000,3190000.0,10000.0,0.3,107.0,,4.0,182.0,29900.0,0.3,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Källdalsvägen 11 Radhus · Mellby · Partille 3 200 000 kr 107 m² 4 rum 182 m² tomt 29 900 kr/m² Uteplats 2026-05-07 +0,3%"
Haketjärnsvägen 33,Villa,Furulund,Partille,no,Slutpris,2026-05-07,2026,5,7775000,,,,152.0,30.0,7.0,863.4,51200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Haketjärnsvägen 33 Villa · Furulund · Partille 7 775 000 kr 152 + 30 m² 7 rum 863,4 m² tomt 51 200 kr/m² 2026-05-07"
Ridhusvägen 6,Villa,Furulund,Partille,no,Slutpris,2026-05-06,2026,5,6525000,7234000.0,-709000.0,-9.8,101.0,80.0,5.0,1350.0,64600.0,-9.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Ridhusvägen 6 Villa · Furulund · Partille 6 525 000 kr 101 + 80 m² 5 rum 1 350 m² tomt 64 600 kr/m² Balkong Eldstad 2026-05-06 -9,8%"
Björkåsvägen 15,Villa,Kåhög,Partille,no,Slutpris,2026-05-05,2026,5,5050000,4327000.0,723000.0,16.7,91.0,83.0,5.0,866.8,55500.0,16.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Björkåsvägen 15 Villa · Kåhög · Partille 5 050 000 kr 91 + 83 m² 5 rum 866,8 m² tomt 55 500 kr/m² Eldstad Uteplats 2026-05-05 +16,7%"
Bragevägen 15,Villa,Sävedalen,Partille,yes,Slutpris,2026-05-04,2026,5,6650000,,,,112.0,75.0,6.0,853.0,59400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Bragevägen 15 Villa · Sävedalen · Partille 6 650 000 kr 112 + 75 m² 6 rum 853 m² tomt 59 400 kr/m² Balkong Uteplats 2026-05-04
Ulvåsvägen 18,Villa,Mellby,Partille,no,Lagfart,2025-12-18,2025,12,8400000,,,,206.0,53.0,8.0,801.0,40800.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Lagfart Ulvåsvägen 18 Villa · Mellby · Partille 8 400 000 kr 206 + 53 m² 8 rum 801 m² tomt 40 800 kr/m² Balkong Eldstad 2025-12-18
Nygårdsvägen 30D,Radhus,Lexby,Partille,no,Lagfart,2025-12-01,2025,12,2800000,2708000.0,92000.0,3.4,87.0,23.0,4.0,76.0,32200.0,3.4,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Lagfart Nygårdsvägen 30D Radhus · Lexby · Partille 2 800 000 kr 87 + 23 m² 4 rum 76 m² tomt 32 200 kr/m² 2025-12-01 +3,4%"
Smedjegårdsvägen 3F,Radhus,Lexby,Partille,no,Slutpris,2026-04-30,2026,4,3200000,3178000.0,22000.0,0.7,87.0,40.0,4.0,76.0,36800.0,0.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Slutpris Smedjegårdsvägen 3F Radhus · Lexby · Partille 3 200 000 kr 87 + 40 m² 4 rum 76 m² tomt 36 800 kr/m² 2026-04-30 +0,7%"
Mikaelivägen 6,Kedjehus,Paradiset,Partille,no,Slutpris,2026-04-30,2026,4,6800000,7128000.0,-328000.0,-4.6,140.0,,6.0,526.0,48600.0,-4.6,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Slutpris Mikaelivägen 6 Kedjehus · Paradiset · Partille 6 800 000 kr 140 m² 6 rum 526 m² tomt 48 600 kr/m² Uteplats 2026-04-30 -4,6%"
Västergårdsvägen 10,Villa,Mellby,Partille,no,Slutpris,2026-04-30,2026,4,6485000,,,,134.0,77.0,8.0,1275.0,48400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Västergårdsvägen 10 Villa · Mellby · Partille 6 485 000 kr 134 + 77 m² 8 rum 1 275 m² tomt 48 400 kr/m² Uteplats 2026-04-30
Stora Ängsvägen 17B,Radhus,Sävedalen,Partille,yes,Lagfart,2026-02-04,2026,2,4700000,,,,83.0,41.0,4.0,188.0,56600.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Stora Ängsvägen 17B Radhus · Sävedalen · Partille 4 700 000 kr 83 + 41 m² 4 rum 188 m² tomt 56 600 kr/m² Uteplats 2026-02-04
Hallegårdsvägen 8,Villa,Sävedalen,Partille,yes,Lagfart,2025-10-22,2025,10,7500000,8260000.0,-760000.0,-9.2,145.0,70.0,7.0,542.0,51700.0,-9.2,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Lagfart Hallegårdsvägen 8 Villa · Sävedalen · Partille 7 500 000 kr 145 + 70 m² 7 rum 542 m² tomt 51 700 kr/m² Eldstad Uteplats 2025-10-22 -9,2%"
Gryningsvägen 75,Radhus,Furulund,Partille,no,Slutpris,2026-04-30,2026,4,2900000,,,,110.7,,5.0,,26200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Slutpris Gryningsvägen 75 Radhus · Furulund · Partille 2 900 000 kr 110,7 m² 5 rum 26 200 kr/m² Uteplats 2026-04-30"
Gökegårdshöjden 40,Villa,Partille kommun,Partille,no,Lagfart,2026-04-30,2026,4,2846000,,,,,,,370.0,,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Gökegårdshöjden 40 Villa · Partille kommun · Partille 2 846 000 kr 370 m² tomt 2026-04-30
Fritidsvägen 7,Villa,Furulund,Partille,no,Slutpris,2026-04-29,2026,4,6700000,,,,132.0,,6.0,607.0,50800.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Fritidsvägen 7 Villa · Furulund · Partille 6 700 000 kr 132 m² 6 rum 607 m² tomt 50 800 kr/m² Uteplats 2026-04-29
Gökskullavägen 37,Villa,Öjersjö,Partille,no,Slutpris,2026-04-29,2026,4,10000000,,,,200.0,70.0,6.0,1758.0,50000.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Gökskullavägen 37 Villa · Öjersjö · Partille 10 000 000 kr 200 + 70 m² 6 rum 1 758 m² tomt 50 000 kr/m² Balkong Eldstad 2026-04-29
Björnåsvägen 85,Villa,Sävedalen,Partille,yes,Lagfart,2026-02-21,2026,2,5380000,6031000.0,-651000.0,-10.8,98.0,71.0,5.0,730.0,54900.0,-10.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Lagfart Björnåsvägen 85 Villa · Sävedalen · Partille 5 380 000 kr -1,8% 98 + 71 m² 5 rum 730 m² tomt 54 900 kr/m² 2026-02-21 -10,8%"
Mellbyvägen 60A,Villa,Mellby,Partille,no,Lagfart,2026-01-12,2026,1,5800000,5146000.0,654000.0,12.7,203.0,72.0,12.0,1031.0,28600.0,12.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Lagfart Mellbyvägen 60A Villa · Mellby · Partille 5 800 000 kr 203 + 72 m² 12 rum 1 031 m² tomt 28 600 kr/m² 2026-01-12 +12,7%"
Bråtegårdsvägen 11,Villa,Fräntorp,Partille,no,Lagfart,2026-02-05,2026,2,8450000,,,,197.0,,7.0,922.0,42900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Bråtegårdsvägen 11 Villa · Fräntorp · Partille 8 450 000 kr 197 m² 7 rum 922 m² tomt 42 900 kr/m² 2026-02-05
Öjersjövägen 44,Villa,Öjersjö,Partille,no,Lagfart,2026-01-14,2026,1,6900000,,,,135.0,,3.0,944.0,51100.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Öjersjövägen 44 Villa · Öjersjö · Partille 6 900 000 kr 135 m² 3 rum 944 m² tomt 51 100 kr/m² Eldstad 2026-01-14
Fussegårdsvägen 1,Villa,Kåhög,Partille,no,Slutpris,2026-04-27,2026,4,5625000,5161000.0,464000.0,9.0,108.0,100.0,6.0,789.0,52100.0,9.0,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Slutpris Fussegårdsvägen 1 Villa · Kåhög · Partille 5 625 000 kr +7,1% 108 + 100 m² 6 rum 789 m² tomt 52 100 kr/m² Uteplats 2026-04-27 +9%"
Lilla Tulteredsvägen 16,Villa,Lexby,Partille,no,Slutpris,2026-04-27,2026,4,4900000,4856000.0,44000.0,0.9,120.0,,7.0,5465.0,40800.0,0.9,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Slutpris Lilla Tulteredsvägen 16 Villa · Lexby · Partille 4 900 000 kr 120 m² 7 rum 5 465 m² tomt 40 800 kr/m² 2026-04-27 +0,9%"
Öjersjövägen 42A,Parhus,Öjersjö,Partille,no,Lagfart,2025-10-28,2025,10,5500000,5324000.0,176000.0,3.3,90.0,,4.0,316.0,61100.0,3.3,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Lagfart Öjersjövägen 42A Parhus · Öjersjö · Partille 5 500 000 kr 90 m² 4 rum 316 m² tomt 61 100 kr/m² 2025-10-28 +3,3%"
Östra Fjällvägen 21,Villa,Sävedalen,Partille,yes,Lagfart,2025-12-18,2025,12,7750000,7651000.0,99000.0,1.3,133.0,60.0,5.0,1100.0,58300.0,1.3,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,"Lagfart Östra Fjällvägen 21 Villa · Sävedalen · Partille 7 750 000 kr 133 + 60 m² 5 rum 1 100 m² tomt 58 300 kr/m² Balkong Eldstad 2025-12-18 +1,3%"
Jennyhillsvägen 16,Radhus,Mellby,Partille,no,Lagfart,2025-11-26,2025,11,4510000,,,,116.0,2.0,6.0,152.0,38900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Jennyhillsvägen 16 Radhus · Mellby · Partille 4 510 000 kr 116 + 2 m² 6 rum 152 m² tomt 38 900 kr/m² 2025-11-26
Gökegårdsvägen 5I,Villa,Partille kommun,Partille,no,Lagfart,2026-04-24,2026,4,2202000,,,,,,,131.0,,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Gökegårdsvägen 5I Villa · Partille kommun · Partille 2 202 000 kr 131 m² tomt 2026-04-24
Högenvägen 3A,Radhus,Partille kommun,Partille,no,Lagfart,2026-04-23,2026,4,4400000,,,,78.0,39.0,,164.0,56400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Högenvägen 3A Radhus · Partille kommun · Partille 4 400 000 kr 78 + 39 m² 164 m² tomt 56 400 kr/m² 2026-04-23
Första Tvärvägen 5,Villa,Sävedalen,Partille,yes,Slutpris,2026-04-22,2026,4,7800000,,,,126.0,45.0,5.0,1001.0,61900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Första Tvärvägen 5 Villa · Sävedalen · Partille 7 800 000 kr 126 + 45 m² 5 rum 1 001 m² tomt 61 900 kr/m² 2026-04-22
Eriksvägen 36,Villa,Partille kommun,Partille,no,Lagfart,2026-04-22,2026,4,9500000,,,,97.0,35.0,,1038.0,97900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Eriksvägen 36 Villa · Partille kommun · Partille 9 500 000 kr 97 + 35 m² 1 038 m² tomt 97 900 kr/m² 2026-04-22
Örnåshöjden 2,Villa,Partille kommun,Partille,no,Lagfart,2026-04-22,2026,4,4100000,4100000.0,0.0,0.0,,,,732.0,,0.0,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Lagfart Örnåshöjden 2 Villa · Partille kommun · Partille 4 100 000 kr 732 m² tomt 2026-04-22 +/-0%
Nygårdsvägen 32B,Radhus,Lexby,Partille,no,Slutpris,2026-04-21,2026,4,3095000,,,,87.0,23.0,4.0,76.0,35600.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Nygårdsvägen 32B Radhus · Lexby · Partille 3 095 000 kr 87 + 23 m² 4 rum 76 m² tomt 35 600 kr/m² 2026-04-21
Ådäljan 20,Radhus,Sävedalen,Partille,yes,Slutpris,2026-04-18,2026,4,6100000,,,,127.0,,5.0,157.0,48000.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Ådäljan 20 Radhus · Sävedalen · Partille 6 100 000 kr 127 m² 5 rum 157 m² tomt 48 000 kr/m² Uteplats 2026-04-18
Helgas väg 12E,Radhus,Öjersjö,Partille,no,Slutpris,2026-04-15,2026,4,6675000,6675000.0,0.0,0.0,121.0,7.0,5.0,224.0,55200.0,0.0,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=2,Slutpris Helgas väg 12E Radhus · Öjersjö · Partille 6 675 000 kr 121 + 7 m² 5 rum 224 m² tomt 55 200 kr/m² 2026-04-15 +/-0%
